prompt_id,text,status
00001,তন্ময়বাবুর সঙ্গে আত্রেয়ীর সম্পর্ক কেমন?,pending
00002,কালভৈরবের মন্ত্রপুত চণ্ডাল করোটির ভস্ম।,pending
00003,বুক থেকে পেট পর্যন্ত নেমেছে রুদ্রাক্ষমালার স্তর।,pending
00004,নীচে নীলাম্বরের মন্ত্র প্রায় শেষ পর্যায়ে।,pending
00005,যেন প্রচণ্ড যন্ত্রণা পেয়ে ছিটকে যাচ্ছে তারা।,pending
00006,আত্রেয়ী সেনের কোনো পার্সোনাল সেক্রেটারি?,pending
00007,মাঝরাতে ব্রহ্মপুত্রের ধারে আমি একটা যজ্ঞ করব।,pending
00008,দুজনের শরীরেই অল্পবিস্তর ফার্স্ট এড-এর চিহ্ন।,pending
00009,ক্লান্তির নাগপাশ আষ্টেপৃষ্ঠে বেঁধে রেখেছে তাকে।,pending
00010,কোনো অস্ত্র দিয়ে মারার চিহ্ন নেই।,pending
00011,আত্রেয়ী বুঝল এই শব্দের মধ্যে কোনো যন্ত্রণা নেই।,pending
00012,এসব কিছু ধূর্ত ব্রাহ্মণ পণ্ডিতদের চালাকি।,pending
00013,কিছুক্ষণ অন্তর ডাক্তার এসে দেখে যাচ্ছে।,pending
00014,কিন্তু পা ফেললেই যন্ত্রণায় শিরা ছিঁড়ে যাচ্ছে।,pending
00015,কিন্তু বারান্দার গ্রিলগুলোও অক্ষত।,pending
00016,মন্ত্র পড়া শেষে উঠে দাঁড়াল নীলাম্বর ব্যানার্জি।,pending
00017,কোনো জাদুমন্ত্রবলে আশেপাশের সব কিছুই প্রাণহীন।,pending
00018,ঢাকা পড়ে যায় রক্তে লেখা মন্ত্র।,pending
00019,কিন্তু কালভৈরব যন্ত্রের মধ্যে কোনো পরিবর্তন নেই।,pending
00020,নীলাম্বর আবারও কালভৈরব মন্ত্র জপ করতে থাকেন।,pending
00021,কিন্তু দৃষ্টি কিছুতেই স্পষ্ট হচ্ছে না।,pending
00022,আপনার সঙ্গে একটু বসবেন প্রোমোর স্ক্রিপ্টটা নিয়ে।,pending
00023,নীলাম্বর বিড়বড় করে মন্ত্র পড়ে চলেছেন।,pending
00024,পড়তে থাকে মহামৃত্যুঞ্জয় মন্ত্র।,pending
00025,এত কিছুর পরেও নীলাম্বরের মন্ত্রবিচ্যুতি ঘটছে না।,pending
00026,অন্য কোনো অস্ত্রের প্রমাণ মেলেনি।,pending
00027,আপনার সন্তুষ্টি আমাদের প্রথম অগ্রাধিকার।,pending
00028,আপনার ক্রমানুসারে অবস্থান পরিবর্তিত হচ্ছে।,pending
00029,আত্রেয়ী সেনের অত বড়ো ছবিতে ক্রস চিহ্ন!,pending
00030,স্ত্রী বলে বিশেষ ছাড় হয়তো!,pending
00031,জিজ্ঞেস করলেন তন্ময়বাবুর অবস্থা কীরকম?,pending
00032,তাহলে বেকার আত্রেয়ীর আশ্রয়ে পড়ে আছ কেন?,pending
00033,বারবার কেন ওর সঙ্গেই এমন হচ্ছে বলো তো?,pending
00034,মুহূর্তে ভ্রূ দুটো কুঁচকে যায় তন্ময়ের কে?,pending
00035,কিন্তু এখন জায়গাটা অন্ধকার কেন?,pending
00036,অন্ধকারে বেতের চেয়ারে বসে কে ওই ছায়ামূর্তি?,pending
00037,কিন্তু এই ডাক্তার দুজন কোথায় গেল বলুন তো?,pending
00038,তা আমি বললাম সেটা তো এক্ষুনি বলা যাচ্ছে না?,pending
00039,এখনও পাঁচ মিনিটের গল্প শোনাচ্ছ?,pending
00040,আর তুমি কি না আমায় বিয়াল্লিশ বানিয়ে দিচ্ছ?,pending
00041,এখানে কত রাত পর্যন্ত গাড়ি পাওয়া যায় স্যার?,pending
00042,তা সত্ত্বেও এরকম একটা সম্পর্কে জড়ালেন কী করে?,pending
00043,কিন্তু চণ্ডালকে রুখবে কার সাধ্যি?,pending
00044,কিন্তু প্রশ্নটা এতটা উত্তেজিত হওয়ার মতো ছিল কি?,pending
00045,এবার নিশ্চয়ই আত্রেয়ী হাউমাউ করে কিছু বলবে?,pending
00046,আত্রেয়ীর দিকেই-বা এগোচ্ছে কেন?,pending
00047,আত্রেয়ীর অল্প বয়সের ছবি তোমার হাতে কেন?,pending
00048,আমায় জিজ্ঞেস করলেন কিন্তু তোরা বাঁচলি কী করে?,pending
00049,সব ম্যায় বোল দুঙ্গা তো তেরা পরীক্ষা ক্যাসে হোগা?,pending
00050,হ্যালো! কীভাবে আপনার দিন যাচ্ছে?,pending
00051,অনেকক্ষণ একটানা কথা বলে ক্লান্ত বন্দনা।,pending
00052,হ্যালো আমি নীলাম্বর বলছি… অ্যাঁ কী?,pending
00053,প্রচার অফার সম্পর্কে জানতে চান?,pending
00054,সফল প্রজেক্ট সম্পন্ন করেছো?,pending
00055,সায়নের ভ্রূ দুটো ধনুকের মতো বেঁকে যাচ্ছে ক্রমশ।,pending
00056,সূর্য স্পষ্ট বুঝতে পারল সায়ন একটু টলে গেল।,pending
00057,ম্যাডামের পার্সোনাল স্পেসে আমি কক্ষনো ঢুকি না।,pending
00058,তাহলে নার্সিংহোম কি তোমার সঙ্গেই সব … হ্যাঁ।,pending
00059,আকস্মিক কান্নাকাটিতে কিছুক্ষণের নীরবতা।,pending
00060,ওঁর সঙ্গে আর কোনো সম্পর্ক নেই ম্যাডামের।,pending
00061,পঙ্কজ শর্মার ঠিকানা জানতে চায় সূর্য।,pending
00062,হাতে পেয়েই ভৈরবী যন্ত্রে তাকে শোধন করে নিবি।,pending
00063,ছবিতে অল্প বয়সের আত্রেয়ীর কোলে একটি ছোট্ট শিশু।,pending
00064,আমরা এটি উন্নত করতে প্রতিশ্রুতিবদ্ধ।,pending
00065,সারাদিনের ক্লান্তির পরেও তাই আজ ঘুম নেই আত্রেয়ীর।,pending
00066,কাজের ছলে সে-ও স্বামী-স্ত্রীর মুখরোচক ঝগড়া গিলছে।,pending
00067,স্ত্রী-এর দায়িত্ব পালন করছে।,pending
00068,আমাদের প্রত্যেকের শরীরের মধ্যে এই চক্রের অধিষ্ঠান।,pending
00069,সেক্ষেত্রে দুটো লাইনে জয়েন্টের চিহ্ন থাকবে।,pending
00070,ভারমোরে চলে যান তার স্ত্রীকে না জানিয়ে।,pending
00071,আত্রেয়ীর বাড়িতে শান্তনুর কোনো জিনিসের চিহ্ন নেই।,pending
00072,কিন্তু সন্দেহ করার মতো কিছুই শ্রুতিগোচর হয় না।,pending
00073,কিন্তু সব ঘরের অবস্থা বসবাসের উপযুক্ত নয়।,pending
00074,আত্রেয়ীর সঙ্গে এটা তার প্রথম শুটিঙে আসা।,pending
00075,ওই বারান্দা থেকে এই ছাদ একেবারে স্পষ্ট দেখা যায়।,pending
00076,দ্রুততার সঙ্গে প্রতিটা ঘর খুলে ভালো করে দেখা হয়।,pending
00077,ওই আগন্তুকের জামাকাপড়ের সঙ্গে হুবহু মিলে যাচ্ছে।,pending
00078,এখনও পর্যন্ত প্রায় দেড় লাখ বিল হয়ে গেছে।,pending
00079,যন্ত্রণায় হাঁ হয়ে দাঁতগুলো বেরিয়ে এসেছে।,pending
00080,এই মুহূর্তে পুরো ব্যাপারটাই তদন্তসাপেক্ষ।,pending
00081,চোখদুটো যন্ত্রণায় ঠেলে বেরিয়ে এসেছে।,pending
00082,বন্দনার মুখ দেখেই বোঝা যাচ্ছে অসম্ভব বিরক্ত সে।,pending
00083,শান্ত গলায় ক্ষোভ উগরে দিল বন্দনা।,pending
00084,বন্দনার চোয়ালদুটো ক্রমে শক্ত হয়ে উঠছে।,pending
00085,চোয়ালটা শক্ত করে বন্দনার দিকে তাকাল আত্রেয়ী।,pending
00086,এবার যেন আগের চেয়ে আরও একটু স্পষ্ট দেখতে পাচ্ছেন।,pending
00087,মনে মনে ঠিক এই প্রশ্নটারই অপেক্ষায় করছিল বন্দনা।,pending
00088,বন্দনা দেখল ম্যাডামের যেন কোনো ভ্রূক্ষেপই নেই।,pending
00089,শান্তনু আরও একবার আগাপাস্তলা আত্রেয়ীকে মেপে নেয়।,pending
00090,তখন আত্রেয়ী সেন আর শান্তনু নিয়োগীর তুমুল প্রেম।,pending
00091,দম বন্ধ-করা আতঙ্কে বন্দনার চোখদুটো ছোটো হয়ে যায়।,pending
00092,ঝুলন্ত আলোটায় মুহূর্তে যেন পালটে গেল বন্দনার মুখ।,pending
00093,একটু যেন নিশ্চিন্ত হল বন্দনা।,pending
00094,কিন্তু নীলাম্বর যে গন্ধ পান।,pending
00095,প্রচণ্ড ভয়ে হাঁফাচ্ছে মুনাই।,pending
00096,অস্ফুটে কোনো একটা মন্ত্র উচ্চারণ করে চলেছেন।,pending
00097,কিন্তু নেটওয়ার্ক প্রবলেমের জন্য কথা শুনতে পারেনি।,pending
00098,রক্তাভ চক্ষুদুটো ছিল স্থির।,pending
00099,চোখ বুজে মন্ত্র পড়তে লাগলেন বিড়বিড় করে।,pending
00100,সঙ্গে নিয়ে আসছে আসুরিক শক্তির প্রবল ঝড়।,pending
00101,কিন্তু সায়নের মস্তিষ্ক তাতে সায় দিচ্ছে না।,pending
00102,ভ্রূ কুঁচকে প্রশ্ন করলেন নীলাম্বর।,pending
00103,অবশ যন্ত্রমানবের মতো মৃন্ময়ীও ঘরে ঢুকল।,pending
00104,আত্রেয়ী সেনের কেবিনে এই মুহূর্তে একজন নার্স।,pending
00105,ক্লান্তিতে চোখ বুজে আসে আত্রেয়ীর।,pending
00106,নীলাম্বরের মুখে প্রকৃত ভক্তের মতো হাসি লেগে আছে।,pending
00107,কিন্তু তন্ময় এসেছে প্রকৃত বন্ধু হয়ে।,pending
00108,সূর্যের কিন্তু এই সুন্দর কথা বলার গুণটা নেই।,pending
00109,প্যাকেটে মদের সঙ্গে রক্তের গন্ধও মিশে আছে।,pending
00110,কিন্তু এই মুহূর্তে আত্রেয়ী সেনের কোনোটাই ছিল না।,pending
00111,এটা একমাত্র কেবিনের ফুটেজেই প্রবলেম হচ্ছে।,pending
00112,দূরে বিবেকানন্দ ভঙ্গিতে দাঁড়িয়ে ছিলেন নীলাম্বর।,pending
00113,শান্তনুর এই ব্যাগ ছুঁয়ে ওর যন্ত্রণা ফিল করেছি।,pending
00114,মাঝে মাঝে কালো হয়ে যাচ্ছে স্ক্রিন।,pending
00115,তিনি হয়তো স্পষ্ট দেখতে পাচ্ছিলেন।,pending
00116,সোনাইয়ের চোখদুটো যন্ত্রণায় বেরিয়ে আসছে।,pending
00117,আত্রেয়ী তো দুর্দান্ত শট দিচ্ছিল।,pending
00118,প্রোমোটা না হলে পঁচিশ লক্ষ টাকা পুরো নষ্ট।,pending
00119,কিন্তু সেক্ষেত্রে তাদের সইটা আলাদা হবে।,pending
00120,স্পষ্ট বোঝা যাচ্ছে নিশ্বাসের কষ্ট হচ্ছে।,pending
00121,কয়েক মুহূর্ত দম বন্ধ হয়ে গিয়েছিল পঙ্কজের।,pending
00122,তুই একটা বাচাল দুশ্চরিত্র মেয়ের ফূর্তির ফল।,pending
00123,যন্ত্রণায় আমার মাথাটা ছিঁড়ে যেত।,pending
00124,ওর কাছেই আছে আত্রেয়ীকে বশ করার মন্ত্র।,pending
00125,বন্দনারা বেঁচে থাকে অজস্র প্রশ্নের শবদেহের ওপর।,pending
00126,তুমি তো আমার সঙ্গেও শুচ্ছ আবার আত্রেয়ীর সঙ্গেও।,pending
00127,বিরক্তমুখে জিজ্ঞেস করল বন্দনা।,pending
00128,সপ্রশ্ন দৃষ্টি নিয়ে বন্দনার দিকে তাকায় তন্ময়।,pending
00129,দু-চক্ষে সহ্য করতে পারত না আত্রেয়ীকে।,pending
00130,শান্তনুর কথায় আবার ঝাঁঝ দেখাতে যাচ্ছিল আত্রেয়ী।,pending
00131,আদিগন্ত হিমাচলী প্রকৃতির সুন্দরী রূপ উছলে পড়ছে।,pending
00132,শান্তনু প্রায় অজ্ঞান হয়ে পড়ে যায়।,pending
00133,রাত তিনটে হল দুই প্রহরের সন্ধিক্ষণ।,pending
00134,ড্রাইভার নিয়ন্ত্রণ হারিয়ে এদিক-ওদিক করতে থাকে।,pending
00135,নীলাম্বরের বুকে আশঙ্কার দুন্দুভি বেজে ওঠে।,pending
00136,নীলাম্বর হাতের রুদ্রাক্ষের মালা চেপে ধরল।,pending
00137,এদিকে তন্ময়ের গলার শব্দ পালটে যাচ্ছে ক্রমশ।,pending
00138,নীলাম্বরের হঠাৎ নজর পড়ে হাতের রুদ্রাক্ষের দিকে।,pending
00139,নীলাম্বর আবার তার গণ্ডি কাটতে ব্যস্ত হয়ে পড়েন।,pending
00140,নীলাম্বরের গণ্ডি সম্পূর্ণ হয়।,pending
00141,গোঙানির শব্দটা প্রতিধ্বনিত হচ্ছে।,pending
00142,নীলাম্বরকে ফলো করে সূর্য আর সোমদত্তা এগোচ্ছিল।,pending
00143,আঘাত পেয়ে একটু ক্লান্ত হয়েছে নীলাম্বর।,pending
00144,সঙ্গে সঙ্গে ধাতব শব্দ তুলে দরজাটাও বন্ধ হয়ে যায়।,pending
00145,যন্ত্রণায় কাতরে উঠল দুটো শরীর।,pending
00146,সোমদত্তা সব শক্তি একত্রিত করে আর্তনাদ করে ওঠে।,pending
00147,এমন কোনো তথ্য মেলেনি যা মিহিরের সঙ্গে সম্পর্কিত।,pending
00148,আজ বৃষ্টিটাও হচ্ছে অনেকক্ষণ ধরে।,pending
00149,আপনার সন্তুষ্টি আমাদের লক্ষ্য।,pending
00150,পরবর্তী উপলব্ধ প্রতিনিধির জন্য অপেক্ষা করুন।,pending
00151,সৌন্দর্যের প্রতি মানুষের আকর্ষণ স্বাভাবিক।,pending
00152,সপ্তমে স্বর চড়িয়ে সোয়ারভস্কি!,pending
