id,text,char_count,word_count,sentence_type,style,quality_score,source
00001,তন্ময়বাবুর সঙ্গে আত্রেয়ীর সম্পর্ক কেমন?,41,5,question,literary,97.0,12k.txt
00002,বুক থেকে পেট পর্যন্ত নেমেছে রুদ্রাক্ষমালার স্তর।,48,7,statement,literary,95.0,12k.txt
00003,নীচে নীলাম্বরের মন্ত্র প্রায় শেষ পর্যায়ে।,43,6,statement,literary,95.0,12k.txt
00004,কালভৈরবের মন্ত্রপুত চণ্ডাল করোটির ভস্ম।,39,5,statement,literary,95.0,12k.txt
00005,যেন প্রচণ্ড যন্ত্রণা পেয়ে ছিটকে যাচ্ছে তারা।,45,7,statement,literary,95.0,12k.txt
00006,আত্রেয়ী সেনের কোনো পার্সোনাল সেক্রেটারি?,41,5,question,literary,94.0,12k.txt
00007,পরীক্ষার প্রস্তুতি কেমন চলছে?,29,4,question,conversational,94.0,meaningful_sentences
00008,কিছুক্ষণ অন্তর ডাক্তার এসে দেখে যাচ্ছে।,39,6,statement,literary,92.0,12k.txt
00009,ক্লান্তির নাগপাশ আষ্টেপৃষ্ঠে বেঁধে রেখেছে তাকে।,47,6,statement,literary,92.0,12k.txt
00010,কোনো অস্ত্র দিয়ে মারার চিহ্ন নেই।,34,6,statement,literary,92.0,12k.txt
00011,কিন্তু পা ফেললেই যন্ত্রণায় শিরা ছিঁড়ে যাচ্ছে।,47,7,statement,literary,92.0,12k.txt
00012,আত্রেয়ী সেনের অত বড়ো ছবিতে ক্রস চিহ্ন!,40,7,exclamation,literary,92.0,12k.txt
00013,কিন্তু বারান্দার গ্রিলগুলোও অক্ষত।,34,4,statement,literary,92.0,12k.txt
00014,মন্ত্র পড়া শেষে উঠে দাঁড়াল নীলাম্বর ব্যানার্জি।,49,7,statement,literary,92.0,12k.txt
00015,আত্রেয়ী বুঝল এই শব্দের মধ্যে কোনো যন্ত্রণা নেই।,48,8,statement,literary,92.0,12k.txt
00016,কোনো জাদুমন্ত্রবলে আশেপাশের সব কিছুই প্রাণহীন।,46,6,statement,literary,92.0,12k.txt
